0,0,0,0,0
1,0,0,0,0
2,1,1,0,0
3,1,1,0,0
4,2,1,0,0
5,2,1,0,0
6,3,2,1,1
7,3,2,1,1
8,4,3,1,1
9,4,3,1,1
10,5,0,0,0
11,6,0,0,0
12,6,0,0,0
13,7,1,0,0
14,7,1,0,0
15,8,2,1,1
16,8,2,1,1
17,9,2,1,1
18,10,3,1,1
19,11,3,1,1
20,5,0,0,0
21,12,0,0,0
22,12,0,0,0
23,13,4,2,2
24,13,4,2,2
25,14,2,1,1
26,14,2,1,1
27,9,2,1,1
28,10,3,1,1
29,11,3,1,1
30,15,5,3,3
31,16,5,3,3
32,16,5,3,3
33,17,4,2,2
34,17,4,2,2
35,18,6,4,4
36,18,6,4,4
37,19,7,5,5
38,20,7,5,5
39,21,7,5,5
40,15,5,3,3
41,22,5,3,3
42,22,5,3,3
43,23,4,2,2
44,23,4,2,2
45,24,6,4,4
46,24,6,4,4
47,19,7,5,5
48,20,7,5,5
49,21,7,5,5
50,25,5,3,3
51,26,5,3,3
52,26,5,3,3
53,27,8,6,6
54,27,8,6,6
55,28,6,4,4
56,28,6,4,4
57,29,9,5,5
58,30,9,5,5
59,31,9,5,5
60,25,5,3,3
61,32,5,3,3
62,32,5,3,3
63,33,8,6,6
64,33,8,6,6
65,34,10,4,4
66,34,10,4,4
67,29,9,5,5
68,30,9,5,5
69,31,9,5,5
70,35,11,7,7
71,36,11,7,7
72,36,11,7,7
73,37,12,6,6
74,37,12,6,6
75,38,10,4,4
76,38,10,4,4
77,39,9,5,5
78,39,9,5,5
79,39,9,5,5
80,35,11,7,7
81,40,11,7,7
82,41,11,7,7
83,42,12,6,6
84,43,12,6,6
85,44,13,8,8
86,45,13,8,8
87,46,13,8,8
88,47,14,8,8
89,48,14,8,8
90,35,11,7,7
91,40,11,7,7
92,41,11,7,7
93,42,12,6,6
94,43,12,6,6
95,44,13,8,8
96,45,13,8,8
97,46,13,8,8
98,47,14,8,8
99,48,14,8,8
